region,n_countries,macro_exposure,labor_force_weighted_exposure,total_employment_k,covered_population_2024,included_country_codes,n_wb_economies,wb_population_2024,country_coverage_share,population_coverage_share_2024,missing_exposure_country_codes,coverage_note
East Asia & Pacific,24,0.25556249999999997,0.2558807254456185,403658.1,827780221.0,AUS;BRN;FJI;FSM;IDN;JPN;KHM;KIR;LAO;MHL;MMR;MNG;PHL;PLW;PNG;SGP;SLB;THA;TLS;TON;TUV;VNM;VUT;WSM,38,2364906595.0,0.631578947368421,0.3500266026362872,ASM;CHN;GUM;HKG;KOR;MAC;MNP;MYS;NCL;NRU;NZL;PRK;PYF;TWN,24 of 38 World Bank economies covered by measured exposure
Europe & Central Asia,40,0.30245,0.30723275822476925,390621.9,803908720.0,ALB;AUT;BEL;BGR;BIH;BLR;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GEO;GRC;HRV;HUN;IRL;ITA;KGZ;KOS;LTU;LUX;LVA;MKD;MNE;NLD;NOR;POL;PRT;ROU;RUS;SRB;SVN;SWE;TJK;TUR,58,928263208.0,0.6896551724137931,0.8660353152766559,AND;ARM;AZE;CHI;FRO;GIB;GRL;IMN;ISL;KAZ;LIE;MCO;MDA;SMR;SVK;TKM;UKR;UZB,40 of 58 World Bank economies covered by measured exposure
Latin America & Caribbean,22,0.25954090909090904,0.26632470335645786,270189.6,602388699.0,ARG;BHS;BLZ;BOL;BRA;BRB;CHL;COL;CRI;CUB;DOM;ECU;GTM;GUY;HND;JAM;MEX;PAN;PER;SLV;SUR;URY,41,633780845.0,0.5365853658536586,0.9504684525452959,ABW;ATG;CUW;CYM;DMA;GRD;HTI;KNA;LCA;MAF;NIC;PRI;PRY;SXM;TCA;TTO;VCT;VGB;VIR,22 of 41 World Bank economies covered by measured exposure
"Middle East, North Africa, Afghanistan & Pakistan",11,0.2534090909090909,0.2399163945249072,168435.5,603950566.0,AFG;ARE;EGY;IRN;IRQ;ISR;JOR;LBN;PAK;PSE;TUN,23,813146136.0,0.4782608695652174,0.7427331192532408,BHR;DJI;DZA;KWT;LBY;MAR;MLT;OMN;QAT;SAU;SYR;YEM,11 of 23 World Bank economies covered by measured exposure
North America,1,0.3225,0.3225,163492.9,340110988.0,USA,3,381464223.0,0.3333333333333333,0.8915934116316853,BMU;CAN,1 of 3 World Bank economies covered by measured exposure
South Asia,6,0.23773333333333335,0.21729809349320597,566334.2,1677384532.0,BGD;BTN;IND;LKA;MDV;NPL,6,1677384532.0,1.0,1.0,,6 of 6 World Bank economies covered by measured exposure
Sub-Saharan Africa,31,0.20903548387096776,0.19480675685179885,223229.69999999998,747999226.0,AGO;BDI;BEN;BFA;BWA;CIV;COD;CPV;GHA;GIN;GMB;GNB;KEN;LSO;MDG;MLI;MOZ;MUS;MWI;NER;RWA;SDN;SLE;SOM;STP;SWZ;TGO;TZA;UGA;ZMB;ZWE,47,1158985197.0,0.6595744680851063,0.6453915269463101,CAF;CMR;COG;COM;ERI;GAB;GNQ;LBR;MRT;NAM;NGA;SEN;SSD;SYC;TCD;ZAF,31 of 47 World Bank economies covered by measured exposure
