country_code,country_name,sex,year,weighted_exposure,n_occupations,total_employment_k,employment_coverage,nec_share,isco_version,n_unreliable_cells,reliability
SVN,Slovenia,Total,2024,0.3041,38,984.8,0.986,0.005,ISCO-08,0,high
SWE,Sweden,Female,2024,0.3451,38,2514.6,0.998,0.001,ISCO-08,1,high
SWE,Sweden,Male,2024,0.324,38,2760.8,0.992,0.002,ISCO-08,0,high
SWE,Sweden,Total,2024,0.334,38,5275.5,0.995,0.002,ISCO-08,0,high
SWZ,Eswatini,Female,2023,0.2596,28,106.9,0.963,0.022,ISCO-08,10,medium
SWZ,Eswatini,Male,2023,0.226,31,108.2,0.954,0.022,ISCO-08,12,medium
SWZ,Eswatini,Total,2023,0.2438,34,216.9,0.967,0.022,ISCO-08,5,high
SYC,Seychelles,Female,2024,0.3177,30,13.7,0.487,0.508,ISCO-08,8,low
SYC,Seychelles,Male,2024,0.2491,36,12.4,0.462,0.532,ISCO-08,12,low
SYC,Seychelles,Total,2024,0.2853,38,26.2,0.477,0.519,ISCO-08,5,low
TGO,Togo,Female,2022,0.2567,21,1768.5,0.994,0.0,ISCO-08,6,high
TGO,Togo,Male,2022,0.2104,35,1571.8,0.991,0.0,ISCO-08,9,high
TGO,Togo,Total,2022,0.2353,36,3348.4,0.995,0.0,ISCO-08,8,high
THA,Thailand,Female,2024,0.2777,40,18350.2,0.998,0.002,ISCO-08,0,high
THA,Thailand,Male,2024,0.2262,40,21327.6,0.996,0.002,ISCO-08,0,high
THA,Thailand,Total,2024,0.25,40,39677.8,0.997,0.002,ISCO-08,0,high
TJK,Tajikistan,Female,2016,0.2235,32,627.0,0.993,0.0,ISCO-08,13,medium
TJK,Tajikistan,Male,2016,0.2208,37,1624.4,0.993,0.002,ISCO-08,8,high
TJK,Tajikistan,Total,2016,0.2216,38,2254.9,0.995,0.001,ISCO-08,3,high
TKL,Tokelau,Female,2022,0.2842,15,0.2,0.833,0.0,ISCO-08,9,medium
TKL,Tokelau,Male,2022,0.2568,12,0.2,0.843,0.0,ISCO-08,7,medium
TKL,Tokelau,Total,2022,0.2727,21,0.4,0.927,0.0,ISCO-08,12,medium
TLS,Timor-Leste,Female,2022,0.2123,37,157.3,0.904,0.091,ISCO-08,3,high
TLS,Timor-Leste,Male,2022,0.2037,38,197.0,0.864,0.127,ISCO-08,2,medium
TLS,Timor-Leste,Total,2022,0.2076,39,354.3,0.881,0.112,ISCO-08,3,medium
TON,Tonga,Female,2023,0.2988,32,14.6,0.985,0.0,ISCO-08,11,medium
TON,Tonga,Male,2023,0.2267,37,18.0,0.986,0.0,ISCO-08,8,high
TON,Tonga,Total,2023,0.259,38,32.8,0.991,0.0,ISCO-08,2,high
TUN,Tunisia,Female,2021,0.2539,39,1874.9,1.0,0.0,ISCO-08,3,high
TUN,Tunisia,Male,2021,0.2272,39,3565.8,1.0,0.0,ISCO-08,1,high
TUN,Tunisia,Total,2021,0.2364,39,5440.7,1.0,0.0,ISCO-08,0,high
TUR,Türkiye,Female,2024,0.2772,39,10810.9,1.0,0.0,ISCO-08,0,high
TUR,Türkiye,Male,2024,0.2593,39,21809.4,1.0,0.0,ISCO-08,0,high
TUR,Türkiye,Total,2024,0.2652,39,32620.3,1.0,0.0,ISCO-08,0,high
TUV,Tuvalu,Female,2022,0.3676,28,1.1,0.979,0.0,ISCO-08,9,medium
TUV,Tuvalu,Male,2022,0.268,38,1.8,0.996,0.0,ISCO-08,11,high
TUV,Tuvalu,Total,2022,0.3055,39,2.9,0.998,0.0,ISCO-08,3,high
TZA,"Tanzania, United Republic of",Female,2024,0.1717,28,15400.7,0.999,0.0,ISCO-08,4,high
TZA,"Tanzania, United Republic of",Male,2024,0.1749,29,15573.0,0.997,0.002,ISCO-08,0,high
TZA,"Tanzania, United Republic of",Total,2024,0.1733,29,30978.0,0.998,0.001,ISCO-08,0,high
UGA,Uganda,Female,2021,0.1804,31,8692.5,0.997,0.0,ISCO-08,10,medium
UGA,Uganda,Male,2021,0.1832,38,9202.3,0.995,0.0,ISCO-08,8,high
UGA,Uganda,Total,2021,0.182,39,17917.8,0.997,0.0,ISCO-08,4,high
URY,Uruguay,Female,2024,0.3085,40,779.8,0.999,0.0,ISCO-08,1,high
URY,Uruguay,Male,2024,0.2578,40,946.9,0.989,0.0,ISCO-08,0,high
URY,Uruguay,Total,2024,0.2807,40,1726.7,0.994,0.0,ISCO-08,0,high
USA,United States of America,Female,2025,0.345,40,76930.6,1.0,0.0,ISCO-08,0,high
USA,United States of America,Male,2025,0.3024,40,86562.2,1.0,0.0,ISCO-08,0,high
USA,United States of America,Total,2025,0.3225,40,163492.9,1.0,0.0,ISCO-08,0,high
VNM,Viet Nam,Female,2024,0.2413,39,25474.0,0.96,0.038,ISCO-08,1,high
VNM,Viet Nam,Male,2024,0.2108,39,27961.2,0.972,0.019,ISCO-08,0,high
VNM,Viet Nam,Total,2024,0.2253,40,53436.1,0.967,0.028,ISCO-08,1,high
VUT,Vanuatu,Female,2020,0.2322,39,31.0,0.921,0.074,ISCO-08,2,high
VUT,Vanuatu,Male,2020,0.207,40,38.7,0.917,0.071,ISCO-08,0,high
VUT,Vanuatu,Total,2020,0.2182,40,69.7,0.919,0.072,ISCO-08,0,high
WLF,Wallis and Futuna,Female,2019,0.3317,24,1.6,0.903,0.066,ISCO-08,11,medium
WLF,Wallis and Futuna,Male,2019,0.2486,27,1.7,0.673,0.295,ISCO-08,15,low
WLF,Wallis and Futuna,Total,2019,0.2907,33,3.3,0.787,0.2,ISCO-08,10,medium
WSM,Samoa,Female,2022,0.2916,31,18.2,0.97,0.013,ISCO-08,6,high
WSM,Samoa,Male,2022,0.2101,34,33.8,0.983,0.01,ISCO-08,4,high
WSM,Samoa,Total,2022,0.2394,38,52.5,0.987,0.011,ISCO-08,1,high
ZMB,Zambia,Female,2024,0.195,30,3244.6,0.996,0.0,ISCO-08,10,medium
ZMB,Zambia,Male,2024,0.1801,36,3868.1,0.992,0.0,ISCO-08,6,high
ZMB,Zambia,Total,2024,0.1872,38,7126.2,0.996,0.0,ISCO-08,4,high
ZWE,Zimbabwe,Female,2024,0.1974,35,2381.2,0.993,0.006,ISCO-08,5,high
ZWE,Zimbabwe,Male,2024,0.1864,37,2538.3,0.982,0.014,ISCO-08,2,high
ZWE,Zimbabwe,Total,2024,0.1918,38,4921.8,0.988,0.011,ISCO-08,1,high
