country_code,country_name,wc_share_M,wc_share_F,wc_share_T,wc_gap,gender_gap,predicted_gg,residual,abs_residual
JOR,Jordan,0.19159499007925637,0.5247677131339463,0.2485889021598884,0.3331727230546899,0.0235,0.08377437327534008,-0.06027437327534008,0.06027437327534008
AFG,Afghanistan,0.09858422482779874,0.033324061791261926,0.08451933701657457,-0.06526016303653681,-0.0529,0.00735572071640119,-0.060255720716401194,0.060255720716401194
SDN,Sudan,0.07140138400370534,0.2239111333989326,0.10033325567940082,0.15250974939522727,-0.0041999999999999,0.04912356633570879,-0.053323566335708686,0.053323566335708686
BGD,Bangladesh,0.11735637397779207,0.05125415077167298,0.09540435691892657,-0.06610222320611908,-0.0385,0.007194215213769825,-0.045694215213769825,0.045694215213769825
TGO,Togo,0.12309128167927405,0.038384658576539464,0.08010781064549749,-0.08470662310273458,0.0462999999999999,0.003625927501089664,0.04267407249891023,0.04267407249891023
BEN,Benin,0.08137306786167546,0.030782083527358634,0.05631519310415409,-0.05059098433431683,0.0501999999999999,0.01016924065841036,0.040030759341589534,0.040030759341589534
CIV,Côte d'Ivoire,0.10398363322819679,0.04432434333413312,0.08115431832232385,-0.05965928989406367,0.0468,0.008429957290847378,0.038370042709152626,0.038370042709152626
HND,Honduras,0.1387588898273477,0.2082070949903464,0.16647172381765207,0.06944820516299871,0.0715,0.03319252371530051,0.038307476284699486,0.038307476284699486
IND,India,0.1510998864058711,0.11194584094035069,0.13894169565593978,-0.03915404546552041,-0.0239,0.01236282328741118,-0.03626282328741118,0.03626282328741118
PLW,Palau,0.3322135785007072,0.6027361220731385,0.44080338266384783,0.27052254357243133,0.1066,0.07175819071175098,0.03484180928824902,0.03484180928824902
TJK,Tajikistan,0.22260480124757406,0.3046337865316374,0.24535326173442862,0.08202898528406335,0.0027,0.0356054928715963,-0.0329054928715963,0.0329054928715963
BHS,Bahamas,0.26368367252114117,0.4856125927411269,0.37090608732399777,0.22192892021998573,0.0951,0.062438028272397944,0.03266197172760206,0.03266197172760206
NER,Niger,0.16038347711317857,0.17444505146232772,0.16647151028055104,0.014061574349149147,0.0544,0.022569475657955456,0.031830524342044544,0.031830524342044544
LUX,Luxembourg,0.7210479130188872,0.7707575501940274,0.7433635057061002,0.04970963717514021,-0.0020999999999999,0.029406704768794714,-0.031506704768794615,0.031506704768794615
IRQ,Iraq,0.19399771210544312,0.6667718711351494,0.24857306229463566,0.4727741590297062,0.0798,0.11054965715605143,-0.030749657156051435,0.030749657156051435
PHL,Philippines,0.1597262617089648,0.2933347851969205,0.2146479479966561,0.1336085234879557,0.0749999999999999,0.04549834797154222,0.029501652028457677,0.029501652028457677
TON,Tonga,0.2991935926271326,0.4196220731206354,0.35317964542869246,0.1204284804935028,0.0721,0.04297044136175911,0.02912955863824089,0.02912955863824089
COK,Cook Islands,0.3260432378079437,0.5666833166833166,0.4423467558848129,0.24064007887537292,0.0949,0.06602679210735364,0.028873207892646358,0.028873207892646358
KIR,Kiribati,0.16510237045444623,0.296138290209984,0.22459502845745977,0.13103591975553777,0.0732,0.045004927579646,0.028195072420354003,0.028195072420354003
SLV,El Salvador,0.18321121410611965,0.22169486429271174,0.19945723289030398,0.03848365018659208,0.0552,0.02725358230010219,0.027946417699897808,0.027946417699897808
LBN,Lebanon,0.2490116638203554,0.48185294172386195,0.32000126200880247,0.23284127790350656,0.0366999999999999,0.06453099725042781,-0.02783099725042791,0.02783099725042791
WSM,Samoa,0.20124966685421536,0.3782139137108712,0.2663921927416895,0.17696424685665585,0.0815,0.053813891382272536,0.027686108617727467,0.027686108617727467
ARE,United Arab Emirates,0.40283644593155804,0.5407817208244032,0.436384293338228,0.1379452748928452,0.0195,0.04633012845556798,-0.026830128455567977,0.026830128455567977
MOZ,Mozambique,0.060540265790778945,0.038484615727310954,0.04913157132982489,-0.02205565006346799,-0.0108,0.01564226226736935,-0.02644226226736935,0.02644226226736935
BDI,Burundi,0.04000067222676934,0.022803245459751608,0.030909647836375134,-0.017197426767017732,-0.0097999999999999,0.016574060045879455,-0.026374060045879354,0.026374060045879354
BLZ,Belize,0.1600917836025064,0.26605018815831777,0.20067927987997997,0.10595840455581138,0.0653999999999999,0.04019510894271096,0.025204891057288945,0.025204891057288945
