country_code,wc_share_M,wc_share_F,wcs_share_M,wcs_share_F,sales_share_M,sales_share_F,wc_avg_exp,bc_avg_exp,wcs_avg_exp,bcs_avg_exp,wc_gap,wc_exposure_spread,predicted_wc,wcs_gap,wcs_exposure_spread,predicted_wcs,country_name,gender_gap,residual_wc,residual_wcs
AFG,0.09858422482779872,0.033324061791261926,0.22173898703379666,0.04054041203683893,0.1231547622059979,0.007216350245576999,0.36211779578034037,0.1727982582050594,0.3623217762601311,0.1495838996084604,-0.06526016303653678,0.18931953757528097,-0.012355023888164588,-0.18119857499695774,0.2127378766516707,-0.0385478000971613,Afghanistan,-0.0529,-0.04054497611183541,-0.014352199902838703
AGO,0.13045729099313985,0.06138579255308867,0.21016616259732035,0.3579040786976305,0.07970887160418053,0.29651828614454184,0.37219785975210384,0.19217471894677404,0.3657390272114801,0.1461567408828307,-0.06907149844005118,0.1800231408053298,-0.012434468089308452,0.14773791610031017,0.2195822863286494,0.03244062939473629,Angola,0.021,0.03343446808930845,-0.01144062939473629
ALB,0.2035268576977753,0.26783555415385424,0.27613533186731765,0.38087893242923604,0.07260847416954233,0.11304337827538175,0.38039026178994895,0.1910486412356342,0.37535845219222724,0.16775843350426145,0.06430869645607895,0.18934162055431475,0.012176312802729506,0.10474360056191839,0.2076000186879658,0.02174477343409908,Albania,0.0169999999999999,0.004823687197270395,-0.004744773434099181
ARE,0.402836445931558,0.5407817208244033,0.4619789038920594,0.5697278485481385,0.05914245796050141,0.02894612772373519,0.4134646176972946,0.17702118439182868,0.4080600059858841,0.15811601263365566,0.13794527489284536,0.2364434333054659,0.03261625440393064,0.1077489446560791,0.24994399335222844,0.026931201506828664,United Arab Emirates,0.0195,-0.013116254403930643,-0.007431201506828664
ARG,0.3319376164773877,0.4404382905176865,0.45777103657710255,0.6149200738047471,0.12583342009971493,0.17448178328706065,0.43041195058782755,0.20983941050593996,0.4114319983495236,0.1621796036488297,0.10850067404029884,0.2205725400818876,0.023932269273665638,0.15714903722764456,0.2492523947006939,0.0391697738538989,Argentina,0.0359999999999999,0.012067730726334262,-0.003169773853899001
AUS,0.5017371049974723,0.6710555592348725,0.5457788808624544,0.7518793563596605,0.04404177586498201,0.0808237971247881,0.4071422816623271,0.2023421486612616,0.4028716810089468,0.17454311658667765,0.16931845423740022,0.20480013300106548,0.034676441947354385,0.20610047549720611,0.22832856442226918,0.04705862569702414,Australia,0.0534,0.01872355805264562,0.0063413743029758635
AUT,0.5100508233191142,0.602540935388354,0.5505407317930453,0.7059224799213898,0.040489908473930955,0.10338154453303589,0.4128921591308881,0.2045806748932202,0.40721468329855504,0.1748205341754976,0.09249011206923974,0.2083114842376679,0.019266752522451573,0.1553817481283445,0.23239414912305745,0.036109809145539844,Austria,0.0428999999999999,0.023633247477548323,0.006790190854460053
BDI,0.04000067222676935,0.02280324545975161,0.0779333387232597,0.051457484214959257,0.03793266649649034,0.028654238755207645,0.3672784660026207,0.13689018256938734,0.3648203412392741,0.12899787830847828,-0.017197426767017736,0.23038828343323337,-0.003962085632321957,-0.02647585450830045,0.2358224629307958,-0.006243601218344826,Burundi,-0.0097999999999999,-0.005837914367677944,-0.0035563987816550745
BEL,0.541976899197345,0.6557395982997266,0.5822852827937242,0.725386377066386,0.04030838359637919,0.06964677876665927,0.4093937895860463,0.19479320040326384,0.405487839351717,0.1686187417934248,0.11376269910238157,0.21460058918278244,0.02441354225439468,0.14310109427266182,0.23686909755829222,0.0338962270599695,Belgium,0.0275,0.0030864577456053213,-0.0063962270599695024
BEN,0.08137306786167545,0.03078208352735863,0.1431028653423785,0.3865242178952419,0.06172979748070308,0.3557421343678833,0.38677072388807815,0.21766821977911635,0.36755121294788723,0.1750426934740807,-0.050590984334316816,0.1691025041089618,-0.008555062136270232,0.24342135255286337,0.19250851947380654,0.046860684188263224,Benin,0.0501999999999999,0.05875506213627013,0.0033393158117366734
BFA,0.14310759847741938,0.10994818008702939,0.2367964184271861,0.2980525813105272,0.09368881994976672,0.18810440122349778,0.35866113655255333,0.17404665805261152,0.3606689783024527,0.1379267600084358,-0.033159418390389994,0.1846144784999418,-0.006121708733503229,0.0612561628833411,0.2227422182940169,0.013644333604815019,Burkina Faso,0.0116999999999999,0.01782170873350313,-0.0019443336048151193
BGD,0.11735637397779208,0.05125415077167298,0.29665419031231854,0.06831137381206712,0.1792978163345265,0.017057223040394125,0.3926941084153766,0.19956407768612358,0.3755469327358436,0.17328775477186656,-0.06610222320611911,0.19313003072925303,-0.012766324399069726,-0.22834281650025143,0.20225917796397705,-0.04618443035932011,Bangladesh,-0.0385,-0.025733675600930275,0.007684430359320107
BGR,0.3248388012125057,0.4993628381042419,0.3767190408567584,0.6455884072114385,0.05188023964425272,0.14622556910719645,0.4145866396842137,0.20755184061766002,0.4046250796467897,0.17710035643306052,0.17452403689173623,0.2070347990665537,0.036132548910164417,0.2688693663546801,0.22752472321372916,0.06117442816049934,Bulgaria,0.067,0.030867451089835587,0.005825571839500665
BHS,0.26368367252114117,0.4856125927411269,0.3049159000092928,0.6380890314818528,0.041232227488151654,0.15247643874072586,0.4197659903615352,0.20128732147573147,0.40815390563230697,0.17279408648149616,0.22192892021998573,0.21847866888580375,0.04848673507692622,0.33317313147256,0.2353598191508108,0.07841556796929103,Bahamas,0.0951,0.046613264923073786,0.016684432030708976
BIH,0.27036558012320366,0.40483673985835994,0.3247191316884742,0.570601805158749,0.0543535515652705,0.16576506530038912,0.4040655602714403,0.19430442906665096,0.39433282649470525,0.16503530360573174,0.13447115973515628,0.20976113120478934,0.0282068225804663,0.24588267347027482,0.2292975228889735,0.05638028794805234,Bosnia and Herzegovina,0.0448999999999999,0.0166931774195336,-0.01148028794805244
